date,starttime,endtime,venue,town
2024-07-01,13:00, 14:00, Venue test, town
2024-11-23,12:00,14:00,"Quaker's Cafe, Thornbridge Hall", Ashford-in-the-water
2024-11-30,18:00,20:00,Black Boy, Heage
2024-12-07,15:00,17:00,St. Peter's Church, Belper
2024-12-15,14:00,16:00,Floras' Temple,Chatsworth House
2024-12-22,13:00,14:00,Ada Belfield Centre, Belper
2025-06-29,14:00,16:00,"'Larks in the Park', The River Gardens", Belper
2025-12-13,15:00,17;00,"Christmas Concert with The Dalesmen Choir, St. Peter's Church", Belper
2025-06-14,14:00,16:00,The Square and Compass,Darley Dale
2025-11-30,15:30,16:45,Belper Christmas Lights Switch on,King Street Belper
2025-12-06,11;00,13;00,"Quaker's Cafe" Thornbridge Hall,Ashford-in-the-Water
